service_id,date,exception_type
Weekend-1,20231225,1
Weekend-1,20231226,1
Weekend-1,20240101,1
Weekend-1,20240102,1
Weekend-2,20231225,1
Weekend-2,20231226,1
Weekend-2,20240101,1
Weekend-2,20240102,1
Weekend-2,20231202,2
Weekend-2,20231216,2
Weekend-2,20231217,2
Weekend-3,20231225,1
Weekend-3,20231226,1
Weekend-3,20231227,1
Weekend-3,20231228,1
Weekend-3,20231229,1
Weekend-3,20240101,1
Weekend-3,20240102,1
Weekend-3,20240103,1
Weekend-3,20240104,1
Weekend-3,20240105,1
Weekend-4,20231221,1
Weekend-4,20231222,1
Weekend-4,20231225,1
Weekend-4,20231226,1
Weekend-4,20231227,1
Weekend-4,20231228,1
Weekend-4,20231229,1
Weekend-4,20240101,1
Weekend-4,20240102,1
Weekend-4,20240103,1
Weekend-4,20240104,1
Weekend-4,20240105,1
Weekend-4,20240108,1
Weekend-4,20240109,1
WkExFri-1,20231225,2
WkExFri-1,20231226,2
WkExFri-1,20240101,2
WkExFri-1,20240102,2
WkExFri-2,20231225,2
WkExFri-2,20231226,2
WkExFri-2,20231227,2
WkExFri-2,20231228,2
WkExFri-2,20240101,2
WkExFri-2,20240102,2
WkExFri-2,20240103,2
WkExFri-2,20240104,2
WkExFri-2,20240108,2
WkExFri-2,20240109,2
WkExTues-1,20231225,2
WkExTues-1,20231227,2
WkExTues-1,20231228,2
WkExTues-1,20231229,2
WkExTues-1,20240101,2
WkExTues-1,20240103,2
WkExTues-1,20240104,2
WkExTues-1,20240105,2
