route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
24B-202,Saturday-1,24-02403-25800-2-a51dec24,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-26340-2-a020b634,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-27180-2-98c9b69c,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-27300-2-26006adf,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
755-202,Sunday-1,233-75504-58500-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Saturday-1,233-75504-58500-2-4f844386,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Weekday-1,233-75504-59100-2-f1746ace,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
755-202,Sunday-1,233-75504-60300-2-3c1df7bc,Britomart To Benson Rd Via Portland Rd,,1,,233-75504-f43a4392,0,0
24B-202,Sunday-1,24-02403-27300-2-a51dec24,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-28440-2-a549ac79,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Saturday-1,24-02403-29100-2-26006adf,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Sunday-1,24-02403-29100-2-a51dec24,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
24B-202,Weekday-1,24-02403-29460-2-7c032a9e,New Lynn And Blockhouse Bay To City Centre Via Sandingham Rd,,0,,24-02403-34b9afab,0,0
